function,optimizer,lr,saddle_id,saddle_x,saddle_y,lambda_min,r_escape,r_diverge,SEE_basic,SEE_basic_CI_lo,SEE_basic_CI_hi,SEE_quality,SEE_quality_CI_lo,SEE_quality_CI_hi,P_escape,P_quality,diverge_rate,stuck_rate,tau_escape_mean,tau_quality_mean,wilcoxon_p_vs_best,cohens_d_vs_best
Styblinski_Tang,GD_fixed,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.4098360655737705,0.37871667805878334,0.43859649122807015,0.0,0.0,0.0,1.0,0.0,0.14,0.0,2.44,,1.0,0.9278462723283628
Styblinski_Tang,Adam,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.09842519685039369,0.09258831382214007,0.1079913606911447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.16,,1.0,0.6352723202587333
Styblinski_Tang,Adam,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,1.0,0.6352723202587333
Styblinski_Tang,AdamW,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.09861932938856015,0.09275580506105988,0.10822510822510822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.14,,1.0,0.6427553737175448
Styblinski_Tang,AdamW,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.4672897196261682,0.44632980404551204,0.49019607843137253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.14,,1.0,0.6427553737175448
Styblinski_Tang,RMSProp,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,,0.0
Styblinski_Tang,RMSProp,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0
Styblinski_Tang,AdaGrad,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.05359056806002144,0.04998639960435213,0.05982123790120108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.66,,1.0,0.6263264681420684
Styblinski_Tang,AdaGrad,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,1.0,0.6263264681420684
Styblinski_Tang,SGD_momentum,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.13850415512465375,0.12163246235762898,0.16130337195949473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22,,1.0,1.0338275293798702
Styblinski_Tang,SGD_momentum,0.1,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.37037037037037035,0.3246753246753247,0.4166666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7,,1.0,1.0338275293798702
Styblinski_Tang,GD_fixed,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.07633587786259542,0.06450169127959739,0.09297187346566599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.1,,1.0,0.9278462723283628
Styblinski_Tang,GD_fixed,0.1,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.3846153846153846,0.34965034965034963,0.42025708588520155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,,1.0,0.9278462723283628
Styblinski_Tang,Adam,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.09842519685039369,0.09258831382214007,0.1079913606911447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.16,,1.0,0.6352723202587333
Styblinski_Tang,Adam,0.1,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,1.0,0.6352723202587333
Styblinski_Tang,AdamW,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.09823182711198429,0.09242144177449169,0.10753267519466074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.18,,1.0,0.6427553737175448
Styblinski_Tang,AdamW,0.1,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,1.0,0.6427553737175448
Styblinski_Tang,RMSProp,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,,0.0
Styblinski_Tang,RMSProp,0.1,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0
Styblinski_Tang,AdaGrad,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.05359056806002144,0.04998639960435213,0.05982123790120108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.66,,1.0,0.6263264681420684
Styblinski_Tang,AdaGrad,0.1,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.4716981132075471,0.4503499034749035,0.49504950495049505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,,1.0,0.6263264681420684
Styblinski_Tang,SGD_momentum,0.01,1,0.15673125678026742,2.7468027709907212,-15.852611878888467,0.1255797393170647,7.0710678118654755,0.13736263736263735,0.12047468721037997,0.1597444089456869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.28,,1.0,1.0338275293798702
